Series Description,Federal funds effective rate
Jan-78,6.7
Feb-78,6.78
Mar-78,6.79
Apr-78,6.89
May-78,7.36
Jun-78,7.6
Jul-78,7.81
Aug-78,8.04
Sep-78,8.45
Oct-78,8.96
Nov-78,9.76
Dec-78,10.03
Jan-79,10.07
Feb-79,10.06
Mar-79,10.09
Apr-79,10.01
May-79,10.24
Jun-79,10.29
Jul-79,10.47
Aug-79,10.94
Sep-79,11.43
Oct-79,13.77
Nov-79,13.18
Dec-79,13.78
Jan-80,13.82
Feb-80,14.13
Mar-80,17.19
Apr-80,17.61
May-80,10.98
Jun-80,9.47
Jul-80,9.03
Aug-80,9.61
Sep-80,10.87
Oct-80,12.81
Nov-80,15.85
Dec-80,18.9
Jan-81,19.08
Feb-81,15.93
Mar-81,14.7
Apr-81,15.72
May-81,18.52
Jun-81,19.1
Jul-81,19.04
Aug-81,17.82
Sep-81,15.87
Oct-81,15.08
Nov-81,13.31
Dec-81,12.37
Jan-82,13.22
Feb-82,14.78
Mar-82,14.68
Apr-82,14.94
May-82,14.45
Jun-82,14.15
Jul-82,12.59
Aug-82,10.12
Sep-82,10.31
Oct-82,9.71
Nov-82,9.2
Dec-82,8.95
Jan-83,8.68
Feb-83,8.51
Mar-83,8.77
Apr-83,8.8
May-83,8.63
Jun-83,8.98
Jul-83,9.37
Aug-83,9.56
Sep-83,9.45
Oct-83,9.48
Nov-83,9.34
Dec-83,9.47
Jan-84,9.56
Feb-84,9.59
Mar-84,9.91
Apr-84,10.29
May-84,10.32
Jun-84,11.06
Jul-84,11.23
Aug-84,11.64
Sep-84,11.3
Oct-84,9.99
Nov-84,9.43
Dec-84,8.38
Jan-85,8.35
Feb-85,8.5
Mar-85,8.58
Apr-85,8.27
May-85,7.97
Jun-85,7.53
Jul-85,7.88
Aug-85,7.9
Sep-85,7.92
Oct-85,7.99
Nov-85,8.05
Dec-85,8.27
Jan-86,8.14
Feb-86,7.86
Mar-86,7.48
Apr-86,6.99
May-86,6.85
Jun-86,6.92
Jul-86,6.56
Aug-86,6.17
Sep-86,5.89
Oct-86,5.85
Nov-86,6.04
Dec-86,6.91
Jan-87,6.43
Feb-87,6.1
Mar-87,6.13
Apr-87,6.37
May-87,6.85
Jun-87,6.73
Jul-87,6.58
Aug-87,6.73
Sep-87,7.22
Oct-87,7.29
Nov-87,6.69
Dec-87,6.77
Jan-88,6.83
Feb-88,6.58
Mar-88,6.58
Apr-88,6.87
May-88,7.09
Jun-88,7.51
Jul-88,7.75
Aug-88,8.01
Sep-88,8.19
Oct-88,8.3
Nov-88,8.35
Dec-88,8.76
Jan-89,9.12
Feb-89,9.36
Mar-89,9.85
Apr-89,9.84
May-89,9.81
Jun-89,9.53
Jul-89,9.24
Aug-89,8.99
Sep-89,9.02
Oct-89,8.84
Nov-89,8.55
Dec-89,8.45
Jan-90,8.23
Feb-90,8.24
Mar-90,8.28
Apr-90,8.26
May-90,8.18
Jun-90,8.29
Jul-90,8.15
Aug-90,8.13
Sep-90,8.2
Oct-90,8.11
Nov-90,7.81
Dec-90,7.31
Jan-91,6.91
Feb-91,6.25
Mar-91,6.12
Apr-91,5.91
May-91,5.78
Jun-91,5.9
Jul-91,5.82
Aug-91,5.66
Sep-91,5.45
Oct-91,5.21
Nov-91,4.81
Dec-91,4.43
Jan-92,4.03
Feb-92,4.06
Mar-92,3.98
Apr-92,3.73
May-92,3.82
Jun-92,3.76
Jul-92,3.25
Aug-92,3.3
Sep-92,3.22
Oct-92,3.1
Nov-92,3.09
Dec-92,2.92
Jan-93,3.02
Feb-93,3.03
Mar-93,3.07
Apr-93,2.96
May-93,3
Jun-93,3.04
Jul-93,3.06
Aug-93,3.03
Sep-93,3.09
Oct-93,2.99
Nov-93,3.02
Dec-93,2.96
Jan-94,3.05
Feb-94,3.25
Mar-94,3.34
Apr-94,3.56
May-94,4.01
Jun-94,4.25
Jul-94,4.26
Aug-94,4.47
Sep-94,4.73
Oct-94,4.76
Nov-94,5.29
Dec-94,5.45
Jan-95,5.53
Feb-95,5.92
Mar-95,5.98
Apr-95,6.05
May-95,6.01
Jun-95,6
Jul-95,5.85
Aug-95,5.74
Sep-95,5.8
Oct-95,5.76
Nov-95,5.8
Dec-95,5.6
Jan-96,5.56
Feb-96,5.22
Mar-96,5.31
Apr-96,5.22
May-96,5.24
Jun-96,5.27
Jul-96,5.4
Aug-96,5.22
Sep-96,5.3
Oct-96,5.24
Nov-96,5.31
Dec-96,5.29
Jan-97,5.25
Feb-97,5.19
Mar-97,5.39
Apr-97,5.51
May-97,5.5
Jun-97,5.56
Jul-97,5.52
Aug-97,5.54
Sep-97,5.54
Oct-97,5.5
Nov-97,5.52
Dec-97,5.5
Jan-98,5.56
Feb-98,5.51
Mar-98,5.49
Apr-98,5.45
May-98,5.49
Jun-98,5.56
Jul-98,5.54
Aug-98,5.55
Sep-98,5.51
Oct-98,5.07
Nov-98,4.83
Dec-98,4.68
Jan-99,4.63
Feb-99,4.76
Mar-99,4.81
Apr-99,4.74
May-99,4.74
Jun-99,4.76
Jul-99,4.99
Aug-99,5.07
Sep-99,5.22
Oct-99,5.2
Nov-99,5.42
Dec-99,5.3
Jan-00,5.45
Feb-00,5.73
Mar-00,5.85
Apr-00,6.02
May-00,6.27
Jun-00,6.53
Jul-00,6.54
Aug-00,6.5
Sep-00,6.52
Oct-00,6.51
Nov-00,6.51
Dec-00,6.4
Jan-01,5.98
Feb-01,5.49
Mar-01,5.31
Apr-01,4.8
May-01,4.21
Jun-01,3.97
Jul-01,3.77
Aug-01,3.65
Sep-01,3.07
Oct-01,2.49
Nov-01,2.09
Dec-01,1.82
Jan-02,1.73
Feb-02,1.74
Mar-02,1.73
Apr-02,1.75
May-02,1.75
Jun-02,1.75
Jul-02,1.73
Aug-02,1.74
Sep-02,1.75
Oct-02,1.75
Nov-02,1.34
Dec-02,1.24
Jan-03,1.24
Feb-03,1.26
Mar-03,1.25
Apr-03,1.26
May-03,1.26
Jun-03,1.22
Jul-03,1.01
Aug-03,1.03
Sep-03,1.01
Oct-03,1.01
Nov-03,1
Dec-03,0.98
Jan-04,1
Feb-04,1.01
Mar-04,1
Apr-04,1
May-04,1
Jun-04,1.03
Jul-04,1.26
Aug-04,1.43
Sep-04,1.61
Oct-04,1.76
Nov-04,1.93
Dec-04,2.16
Jan-05,2.28
Feb-05,2.5
Mar-05,2.63
Apr-05,2.79
May-05,3
Jun-05,3.04
Jul-05,3.26
Aug-05,3.5
Sep-05,3.62
Oct-05,3.78
Nov-05,4
Dec-05,4.16
Jan-06,4.29
Feb-06,4.49
Mar-06,4.59
Apr-06,4.79
May-06,4.94
Jun-06,4.99
Jul-06,5.24
Aug-06,5.25
Sep-06,5.25
Oct-06,5.25
Nov-06,5.25
Dec-06,5.24
Jan-07,5.25
Feb-07,5.26
Mar-07,5.26
Apr-07,5.25
May-07,5.25
Jun-07,5.25
Jul-07,5.26
Aug-07,5.02
Sep-07,4.94
Oct-07,4.76
Nov-07,4.49
Dec-07,4.24
Jan-08,3.94
Feb-08,2.98
Mar-08,2.61
Apr-08,2.28
May-08,1.98
Jun-08,2
Jul-08,2.01
Aug-08,2
Sep-08,1.81
Oct-08,0.97
Nov-08,0.39
Dec-08,0.16
Jan-09,0.15
Feb-09,0.22
Mar-09,0.18
Apr-09,0.15
May-09,0.18
Jun-09,0.21
Jul-09,0.16
Aug-09,0.16
Sep-09,0.15
Oct-09,0.12
Nov-09,0.12
Dec-09,0.12
Jan-10,0.11
Feb-10,0.13
Mar-10,0.16
Apr-10,0.2
May-10,0.2
Jun-10,0.18
Jul-10,0.18
Aug-10,0.19
Sep-10,0.19
Oct-10,0.19
Nov-10,0.19
Dec-10,0.18
Jan-11,0.17
Feb-11,0.16
Mar-11,0.14
Apr-11,0.1
May-11,0.09
Jun-11,0.09
Jul-11,0.07
Aug-11,0.1
Sep-11,0.08
Oct-11,0.07
Nov-11,0.08
Dec-11,0.07
Jan-12,0.08
Feb-12,0.1
Mar-12,0.13
Apr-12,0.14
May-12,0.16
Jun-12,0.16
Jul-12,0.16
Aug-12,0.13
Sep-12,0.14
Oct-12,0.16
Nov-12,0.16
Dec-12,0.16
Jan-13,0.14
Feb-13,0.15
Mar-13,0.14
Apr-13,0.15
May-13,0.11
Jun-13,0.09
Jul-13,0.09
Aug-13,0.08
Sep-13,0.08
Oct-13,0.09
Nov-13,0.08
Dec-13,0.09
Jan-14,0.07
Feb-14,0.07
Mar-14,0.08
Apr-14,0.09
May-14,0.09
Jun-14,0.1
Jul-14,0.09
Aug-14,0.09
Sep-14,0.09
Oct-14,0.09
Nov-14,0.09
Dec-14,0.12
Jan-15,0.11
Feb-15,0.11
Mar-15,0.11
Apr-15,0.12
May-15,0.12
Jun-15,0.13
Jul-15,0.13
Aug-15,0.14
Sep-15,0.14
Oct-15,0.12
Nov-15,0.12
Dec-15,0.24
Jan-16,0.34
Feb-16,0.38
Mar-16,0.36
Apr-16,0.37
May-16,0.37
Jun-16,0.38
Jul-16,0.39
Aug-16,0.4
Sep-16,0.4
Oct-16,0.4
Nov-16,0.41
Dec-16,0.54
Jan-17,0.65
Feb-17,0.66
Mar-17,0.79
Apr-17,0.9
May-17,0.91
Jun-17,1.04
Jul-17,1.15
Aug-17,1.16
Sep-17,1.15
Oct-17,1.15
Nov-17,1.16
Dec-17,1.3
Jan-18,1.41
Feb-18,1.42
Mar-18,1.51
Apr-18,1.69
May-18,1.7
Jun-18,1.82
Jul-18,1.91
Aug-18,1.91
Sep-18,1.95
Oct-18,2.19
Nov-18,2.2
Dec-18,2.27
Jan-19,2.4
Feb-19,2.4
Mar-19,2.41
Apr-19,2.42
May-19,2.39
Jun-19,2.38
Jul-19,2.4
Aug-19,2.13
Sep-19,2.04
